theta_deg,z_mm,mu_deg,N_i_N,M_load_Nm,M_arm_Nm,M_simple_Nm,M_jac_Nm,valid
35.9,-1069.79972418037,87.9135394674365,1612.33801588859,657.027741474599,11.1912268405424,668.218968315142,39.9627629880946,0
36,-1070.65499095503,87.7847504473092,1518.64346972786,618.847213914102,11.1770707206128,630.024284634715,39.9365029381696,0
36.1,-1071.50989560526,87.6559018957221,1435.21067257626,584.848349074825,11.1628805533874,596.011229628212,39.9100577896538,0
36.2,-1072.36443364109,87.5269939532985,1360.44175779207,554.380016300267,11.1486563820919,565.528672682359,39.8834276637272,0
36.3,-1073.21860057491,87.3980267607136,1293.05423047063,526.91959891678,11.1343982500556,538.053997166835,39.8566126831151,0
36.4,-1074.07239192147,87.2690004586924,1232.00681974234,502.042779045004,11.1201062007113,513.162885245715,39.8296129720825,0
36.5,-1074.92580319797,87.1399151880085,1176.44531118147,479.401464306448,11.105780277595,490.507244584043,39.8024286564296,0
36.6,-1075.77882992406,87.0107710894826,1125.66234806239,458.707406835425,11.0914205243459,469.79882735977,39.7750598634866,0
36.7,-1076.63146762189,86.8815683039808,1079.06717195284,439.719872570783,11.0770269847064,450.79689955549,39.7475067221087,0
36.8,-1077.48371181618,86.7523069724134,1036.16254897877,422.236238708849,11.0625997025216,433.298838411371,39.7197693626712,0
36.9,-1078.33555803425,86.6229872357335,996.526966782067,406.084738963692,11.0481387217397,417.132877685432,39.6918479170645,0
37,-1079.18700180604,86.4936092349355,959.80074904868,391.118805237337,11.0336440864112,402.152449323748,39.6637425186889,0
37.1,-1080.03803866416,86.3641731110534,925.675117446861,377.212610359596,11.0191158406893,388.231726200285,39.6354533024498,0
37.2,-1080.88866414396,86.2346790051597,893.883496008925,364.257524623637,11.0045540288295,375.262078652466,39.6069804047525,0
37.3,-1081.73887378354,86.105127058364,864.194539326117,352.159274775393,10.9899586951897,363.149233470582,39.5783239634971,0
37.4,-1082.58866312379,85.9755174118114,836.406498625632,340.835648189945,10.9753298842298,351.810978074175,39.5494841180736,0
37.5,-1083.43802770848,85.8458502066811,810.342635484854,330.214623960078,10.9606676405117,341.17529160059,39.5204610093569,0
37.6,-1084.28696308422,85.7161255841853,785.847462736654,320.232841065187,10.9459720086991,331.178813073886,39.4912547797013,0
37.7,-1085.13546480058,85.5863436855675,762.783643586087,310.834334761331,10.9312430335575,321.765577794888,39.4618655729361,0
37.8,-1085.98352841006,85.4565046521012,741.029418290719,301.969487953468,10.9164807599538,312.885968713422,39.4322935343598,0
37.9,-1086.83114946821,85.3266086250886,720.476456576469,293.594156054911,10.9016852328566,304.495841287768,39.4025388107354,0
38,-1087.67832353359,85.1966557458594,701.028055820369,285.6689327468,10.8868564973355,296.555789244136,39.3726015502854,0
38.1,-1088.52504616787,85.066646155769,682.597621749724,278.158530863013,10.8719945985615,289.030525461574,39.3424819026863,0
38.2,-1089.37131293582,84.9365799961974,665.107381293825,271.031257877234,10.8570995818064,281.88835745904,39.3121800190638,0
38.3,-1090.21711940542,84.8064574085482,648.487287230277,264.258569546338,10.8421714924432,275.100741038781,39.2816960519875,0
38.4,-1091.06246114782,84.6762785342466,632.674082091925,257.814688452459,10.8272103759453,268.641898828404,39.251030155466,0
38.5,-1091.90733373743,84.5460435147386,617.610494958405,251.67627669555,10.8122162778868,262.488492973437,39.2201824849415,0
38.6,-1092.75173275194,84.4157524914897,603.244549633012,245.822153975453,10.7971892439425,256.619343219395,39.1891531972849,0
38.7,-1093.59565377239,84.285405605983,589.528966591258,240.233053885938,10.7821293198872,251.015183205825,39.1579424507903,0
38.8,-1094.43909238314,84.1550029997186,576.420644200251,234.891412511602,10.7670365515962,245.658449063199,39.1265504051703,0
38.9,-1095.28204417201,84.024544814212,563.880207215375,229.781184440265,10.7519109850445,240.53309542531,39.0949772215506,0
39,-1096.12450473021,83.8940311909927,551.871612590815,224.887682130757,10.7367526663074,235.624434797064,39.0632230624648,0
39.1,-1096.96646965247,83.7634622716033,540.361804291701,220.197435248868,10.7215616415596,230.918996890428,39.0312880918495,0
39.2,-1097.80793453702,83.6328381975978,529.320410145596,215.69806713433,10.7063379570756,226.404405091406,38.9991724750387,0
39.3,-1098.64889498566,83.5021591105407,518.719474878937,211.378186013167,10.6910816592295,222.069267672396,38.9668763787592,0
39.4,-1099.48934660378,83.3714251520053,508.533224397739,207.227288942079,10.6757927944946,217.903081736573,38.9343999711247,0
39.5,-1100.32928500042,83.2406364635732,498.737857128013,203.235676779665,10.6604714094434,213.896148189109,38.9017434216316,0
39.6,-1101.16870578826,83.1097931868321,489.311358859855,199.394378735391,10.6451175507475,210.039496286138,38.8689069011529,0
