F47 body0 plane A=130000.0mm2 n=(-1.000,0.000,0.000) C=(-718.3,-2350.0,-1043.0) box=[-718.3,-2400.0,-1693.0 .. -718.3,-2300.0,-393.0]
F48 body0 plane A=130000.0mm2 n=(0.000,0.000,1.000) C=(-68.3,-2350.0,-393.0) box=[-718.3,-2400.0,-393.0 .. 581.7,-2300.0,-393.0]
F49 body0 plane A=212220.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-1238.9,-1693.0) box=[-818.3,-2300.0,-1693.0 .. -718.3,-177.8,-1693.0]
F50 body0 plane A=130000.0mm2 n=(0.000,0.000,-1.000) C=(-68.3,-2350.0,-1693.0) box=[-718.3,-2400.0,-1693.0 .. 581.7,-2300.0,-1693.0]
F51 body0 plane A=23000.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-2515.0,-1693.0) box=[-818.3,-2630.0,-1693.0 .. -718.3,-2400.0,-1693.0]
F52 body0 plane A=38400.0mm2 n=(0.000,-1.000,0.000) C=(631.7,-2630.0,-343.0) box=[521.7,-2630.0,-453.0 .. 741.7,-2630.0,-233.0]
F53 body0 plane A=4400.0mm2 n=(1.000,0.000,0.000) C=(521.7,-2640.0,-343.0) box=[521.7,-2650.0,-453.0 .. 521.7,-2630.0,-233.0]
F54 body0 plane A=4400.0mm2 n=(0.000,0.000,-1.000) C=(631.7,-2640.0,-233.0) box=[521.7,-2650.0,-233.0 .. 741.7,-2630.0,-233.0]
F55 body0 plane A=4400.0mm2 n=(-1.000,0.000,0.000) C=(741.7,-2640.0,-343.0) box=[741.7,-2650.0,-453.0 .. 741.7,-2630.0,-233.0]
F56 body0 plane A=4400.0mm2 n=(0.000,0.000,1.000) C=(631.7,-2640.0,-453.0) box=[521.7,-2650.0,-453.0 .. 741.7,-2630.0,-453.0]
F57 body0 plane A=48400.0mm2 n=(0.000,-1.000,0.000) C=(631.7,-2650.0,-343.0) box=[521.7,-2650.0,-453.0 .. 741.7,-2650.0,-233.0]
F58 body0 plane A=130000.0mm2 n=(1.000,0.000,0.000) C=(581.7,-2350.0,-1043.0) box=[581.7,-2400.0,-1693.0 .. 581.7,-2300.0,-393.0]
F59 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(631.7,-2300.0,-1043.0) box=[581.7,-2300.0,-1693.0 .. 681.7,-2300.0,-393.0]
F60 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(631.7,-2400.0,-1043.0) box=[581.7,-2400.0,-1693.0 .. 681.7,-2400.0,-393.0]
F61 body0 plane A=23000.0mm2 n=(0.000,0.000,-1.000) C=(631.7,-2515.0,-1693.0) box=[581.7,-2630.0,-1693.0 .. 681.7,-2400.0,-1693.0]
F62 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(-68.3,-2300.0,-1743.0) box=[-718.3,-2300.0,-1793.0 .. 581.7,-2300.0,-1693.0]
F63 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(-68.3,-2400.0,-1743.0) box=[-718.3,-2400.0,-1793.0 .. 581.7,-2400.0,-1693.0]
F64 body0 plane A=770440.0mm2 n=(0.000,0.000,1.000) C=(-68.3,-1353.9,-1793.0) box=[-818.3,-2630.0,-1793.0 .. 681.7,-77.8,-1793.0]
F65 body0 plane A=212220.0mm2 n=(-1.000,0.000,0.000) C=(-718.3,-1238.9,-1743.0) box=[-718.3,-2300.0,-1793.0 .. -718.3,-177.8,-1693.0]
F66 body0 plane A=23000.0mm2 n=(-1.000,0.000,0.000) C=(-718.3,-2515.0,-1743.0) box=[-718.3,-2630.0,-1793.0 .. -718.3,-2400.0,-1693.0]
F67 body0 plane A=212220.0mm2 n=(1.000,0.000,0.000) C=(581.7,-1238.9,-1743.0) box=[581.7,-2300.0,-1793.0 .. 581.7,-177.8,-1693.0]
F68 body0 plane A=23000.0mm2 n=(1.000,0.000,0.000) C=(581.7,-2515.0,-1743.0) box=[581.7,-2630.0,-1793.0 .. 581.7,-2400.0,-1693.0]
F69 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(-68.3,-177.8,-1743.0) box=[-718.3,-177.8,-1793.0 .. 581.7,-177.8,-1693.0]
F70 body0 plane A=212220.0mm2 n=(0.000,0.000,1.000) C=(631.7,-1238.9,-393.0) box=[581.7,-2300.0,-393.0 .. 681.7,-177.8,-393.0]
F71 body0 plane A=23000.0mm2 n=(0.000,0.000,1.000) C=(631.7,-2515.0,-393.0) box=[581.7,-2630.0,-393.0 .. 681.7,-2400.0,-393.0]
F72 body0 plane A=212220.0mm2 n=(1.000,0.000,0.000) C=(581.7,-1238.9,-343.0) box=[581.7,-2300.0,-393.0 .. 581.7,-177.8,-293.0]
F73 body0 plane A=23000.0mm2 n=(1.000,0.000,0.000) C=(581.7,-2515.0,-343.0) box=[581.7,-2630.0,-393.0 .. 581.7,-2400.0,-293.0]
F74 body0 plane A=95725.3mm2 n=(-1.000,0.000,0.000) C=(-718.3,-127.8,-881.7) box=[-718.3,-177.8,-1370.3 .. -718.3,-77.8,-393.0]
F75 body0 plane A=19698.7mm2 n=(-1.000,0.000,0.000) C=(-718.3,-127.8,-1584.5) box=[-718.3,-177.8,-1693.0 .. -718.3,-77.8,-1476.1]
F76 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2300.0,-1043.0) box=[-818.3,-2300.0,-1693.0 .. -718.3,-2300.0,-393.0]
F77 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(-68.3,-2300.0,-343.0) box=[-718.3,-2300.0,-393.0 .. 581.7,-2300.0,-293.0]
F78 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2400.0,-1043.0) box=[-818.3,-2400.0,-1693.0 .. -718.3,-2400.0,-393.0]
F79 body0 plane A=130000.0mm2 n=(0.000,-1.000,0.000) C=(-68.3,-2400.0,-343.0) box=[-718.3,-2400.0,-393.0 .. 581.7,-2400.0,-293.0]
F80 body0 plane A=23000.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-2515.0,-393.0) box=[-818.3,-2630.0,-393.0 .. -718.3,-2400.0,-393.0]
F81 body0 plane A=23000.0mm2 n=(-1.000,0.000,0.000) C=(-718.3,-2515.0,-343.0) box=[-718.3,-2630.0,-393.0 .. -718.3,-2400.0,-293.0]
F82 body0 plane A=770440.0mm2 n=(0.000,0.000,-1.000) C=(-68.3,-1353.9,-293.0) box=[-818.3,-2630.0,-293.0 .. 681.7,-77.8,-293.0]
F83 body0 plane A=770440.0mm2 n=(1.000,0.000,0.000) C=(-818.3,-1353.9,-1043.0) box=[-818.3,-2630.0,-1793.0 .. -818.3,-77.8,-293.0]
F84 body0 plane A=212220.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-1238.9,-393.0) box=[-818.3,-2300.0,-393.0 .. -718.3,-177.8,-393.0]
F85 body0 plane A=212220.0mm2 n=(-1.000,0.000,0.000) C=(-718.3,-1238.9,-343.0) box=[-718.3,-2300.0,-393.0 .. -718.3,-177.8,-293.0]
F86 body0 plane A=126000.0mm2 n=(0.000,0.000,-1.000) C=(-68.3,-127.8,-1693.0) box=[-718.3,-177.8,-1693.0 .. 581.7,-77.8,-1693.0]
F87 body0 plane A=58000.0mm2 n=(0.000,0.000,1.000) C=(281.7,-127.8,-393.0) box=[-18.3,-177.8,-393.0 .. 581.7,-77.8,-393.0]
F88 body0 plane A=2828.4mm2 n=(0.707,0.000,-0.707) C=(481.7,-137.8,-1593.0) box=[381.7,-142.8,-1693.0 .. 581.7,-132.8,-1493.0]
F89 body0 plane A=20000.0mm2 n=(0.000,1.000,0.000) C=(481.7,-132.8,-1593.0) box=[381.7,-132.8,-1693.0 .. 581.7,-132.8,-1493.0]
F90 body0 plane A=20000.0mm2 n=(0.000,1.000,0.000) C=(481.7,-142.8,-1593.0) box=[381.7,-142.8,-1693.0 .. 581.7,-142.8,-1493.0]
F91 body0 plane A=2828.4mm2 n=(0.707,0.000,0.707) C=(481.7,-137.8,-493.0) box=[381.7,-142.8,-593.0 .. 581.7,-132.8,-393.0]
F92 body0 plane A=20000.0mm2 n=(0.000,-1.000,0.000) C=(481.7,-132.8,-493.0) box=[381.7,-132.8,-593.0 .. 581.7,-132.8,-393.0]
F93 body0 plane A=20000.0mm2 n=(0.000,-1.000,0.000) C=(481.7,-142.8,-493.0) box=[381.7,-142.8,-593.0 .. 581.7,-142.8,-393.0]
F94 body0 plane A=85097.2mm2 n=(1.000,0.000,0.000) C=(586.7,-127.8,-877.2) box=[586.7,-172.8,-1361.3 .. 586.7,-82.8,-393.0]
F95 body0 plane A=17219.0mm2 n=(1.000,0.000,0.000) C=(586.7,-127.8,-1586.0) box=[586.7,-172.8,-1693.0 .. 586.7,-82.8,-1478.9]
F96 body0 plane A=108756.7mm2 n=(0.000,1.000,0.000) C=(631.7,-172.8,-1043.0) box=[586.7,-172.8,-1693.0 .. 676.7,-172.8,-393.0]
F97 body0 plane A=108756.7mm2 n=(0.000,-1.000,0.000) C=(631.7,-82.8,-1043.0) box=[586.7,-82.8,-1693.0 .. 676.7,-82.8,-393.0]
F98 body0 plane A=7650.0mm2 n=(0.000,0.000,-1.000) C=(631.7,-127.8,-393.0) box=[586.7,-172.8,-393.0 .. 676.7,-82.8,-393.0]
F99 body0 plane A=7650.0mm2 n=(0.000,0.000,-1.000) C=(631.7,-127.8,-1693.0) box=[586.7,-172.8,-1693.0 .. 676.7,-82.8,-1693.0]
